Scenario,Model,Accuracy,Recall,F1
2,Logistic Regression,0.75,0.6470588235294118,0.7096774193548387
2,Random Forest,0.7222222222222222,0.5882352941176471,0.6666666666666666
2,XGBoost,0.6944444444444444,0.5882352941176471,0.6451612903225806
3,Logistic Regression,0.6388888888888888,0.47058823529411764,0.5517241379310345
3,Random Forest,0.7777777777777778,0.6470588235294118,0.7333333333333333
3,XGBoost,0.7222222222222222,0.6470588235294118,0.6875
4,Logistic Regression,0.75,0.5882352941176471,0.6896551724137931
4,Random Forest,0.7222222222222222,0.5882352941176471,0.6666666666666666
4,XGBoost,0.7222222222222222,0.6470588235294118,0.6875
5,Logistic Regression,0.7222222222222222,0.6470588235294118,0.6875
5,Random Forest,0.6944444444444444,0.5294117647058824,0.6206896551724138
5,XGBoost,0.6388888888888888,0.5294117647058824,0.5806451612903226
6,Logistic Regression,0.6944444444444444,0.5294117647058824,0.6206896551724138
6,Random Forest,0.75,0.5882352941176471,0.6896551724137931
6,XGBoost,0.6388888888888888,0.47058823529411764,0.5517241379310345
7,Logistic Regression,0.696969696969697,0.6875,0.6875
7,Random Forest,0.7575757575757576,0.75,0.75
7,XGBoost,0.696969696969697,0.75,0.7058823529411765
8,Logistic Regression,0.71875,0.6666666666666666,0.6896551724137931
8,Random Forest,0.78125,0.6,0.72
8,XGBoost,0.8125,0.7333333333333333,0.7857142857142857
